ID_CLIENTE;ESTC;NDEP;RENDA;TIPOR;VBEM;NPARC;VPARC;TEL;IDADE;RESMS;ENTRADA;ADIMPLENTE
1;C;0;360;NP;313;9;52;N;25;48;0;N
2;S;0;350;P;468;10;65;N;33;6;0;N
3;S;0;1100;NP;829;9;125;N;56;48;0;N
4;S;0;3000;NP;552;12;76;S;31;60;0;N
5;C;0;1000;NP;809;12;111;N;24;7;0;N
6;S;0;300;NP;331;6;74;S;41;0;0;N
7;S;2;580;P;349;10;51;N;30;6;0;S
8;S;0;300;NP;416;10;64;N;48;108;0;N
9;S;0;1500;NP;688;6;148;N;59;48;0;S
10;S;1;500;P;828;18;89;N;29;6;0;N
11;S;0;2000;P;309;6;66;N;29;6;0;S
12;C;0;411;P;390;12;55;S;40;0;0;S
13;C;0;2500;NP;921;4;267;N;30;6;0;N
14;S;0;1850;NP;1137;9;185;N;48;0;0;N
15;D;0;1202;NP;552;4;119;N;61;48;119;S
16;S;0;500;P;614;10;81;N;59;6;0;S
17;S;2;500;P;347;4;101;N;44;6;0;S
18;S;0;800;P;359;6;76;N;51;6;0;S
19;C;0;2000;NP;374;1;391;N;26;48;0;N
20;S;0;300;P;309;6;66;N;30;6;0;N
21;S;0;554;P;429;10;60;N;46;6;0;S
22;V;0;602;NP;507;6;108;N;54;48;0;N
23;S;0;2500;NP;2199;12;270;N;54;48;0;N
24;S;0;1342;NP;1084;2;363;N;63;0;363;S
25;S;0;332;P;593;4;100;N;44;215;198;S
26;C;0;500;NP;552;4;119;N;62;48;119;S
27;C;0;342;P;453;10;59;N;52;6;0;S
28;S;2;632;P;365;6;78;N;49;6;0;S
29;S;0;900;NP;473;12;64;S;36;48;0;N
30;S;0;600;P;587;10;89;N;44;60;0;S
31;S;0;800;P;495;15;59;N;50;6;0;N
32;C;0;480;P;460;3;135;N;59;6;100;S
33;S;0;1300;P;349;10;51;N;45;6;0;S
34;S;0;387;NP;351;8;62;S;52;144;0;N
35;S;0;1500;NP;500;11;58;N;53;0;58;N
36;S;2;868;P;567;10;78;N;39;6;0;S
