"";"X";"Cliente";"Segmento";"FLO";"JY";"KIV";"LEV";"LIP";"NAR";"NK";"SPD";"SUM";"TRP"
"1";1;"00002-01";"SAPATARIA";0;0;167;0;0;0;96;0;24;72
"2";2;"00003-03";"LOJAS DE MATERIAL ESPORTIVO";46;72;395;0;48;0;406;0;0;48
"3";3;"00003-04";"BOUTIQUE UNISSEX";0;48;443;0;48;0;192;0;0;0
"4";4;"00009-06";"SAPATARIA";4920;0;6000;0;0;0;3840;0;720;9240
"5";5;"00011-04";"SAPATARIA";48;0;107;0;24;0;144;0;0;0
"6";6;"00021-01";"SURFSHOP";0;0;132;36;36;0;108;0;48;84
"7";7;"00021-02";"SURFSHOP";0;0;72;0;0;0;47;0;0;0
"8";8;"00033-02";"BOUTIQUE UNISSEX";168;228;0;0;119;0;0;0;348;935
"9";9;"00038-01";"BOUTIQUE UNISSEX";0;132;213;0;144;0;240;0;0;95
"10";10;"00040-01";"SAPATARIA";0;72;132;0;48;0;300;0;0;0
"11";11;"00040-02";"SAPATARIA";0;0;120;0;0;0;144;0;0;0
"12";12;"00040-03";"BOUTIQUE DE CALCADOS";0;0;180;0;0;0;69;0;0;0
"13";13;"00041-03";"SURFSHOP";0;0;83;0;0;0;48;0;0;60
"14";14;"00041-04";"SURFSHOP";0;0;96;0;0;0;48;0;0;72
"15";15;"00041-05";"SURFSHOP";0;0;72;0;0;0;143;0;0;72
"16";16;"00041-06";"SURFSHOP";0;0;95;0;0;0;48;0;0;48
"17";17;"00041-07";"SURFSHOP";0;0;48;0;0;0;48;0;0;48
"18";18;"00044-04";"SURFSHOP";48;214;428;96;0;0;359;0;0;378
"19";19;"00044-08";"SURFSHOP";72;48;477;96;0;0;552;0;0;384
"20";20;"00044-10";"SURFSHOP";84;178;524;120;179;0;348;0;96;191
"21";21;"00051-01";"SAPATARIA";0;0;36;0;0;0;60;0;154;48
"22";22;"00051-02";"SAPATARIA";204;48;346;180;48;0;260;72;408;204
"23";23;"00051-03";"SAPATARIA";108;84;12;0;84;0;144;0;336;96
"24";24;"00051-05";"SAPATARIA";132;36;299;71;72;0;84;48;396;180
"25";25;"00051-07";"SAPATARIA";104;0;60;0;72;0;95;0;298;108
"26";26;"00057-04";"SURFSHOP";0;36;94;0;0;0;144;0;0;144
"27";27;"00059-02";"SAPATARIA";180;36;0;36;108;0;96;0;191;287
"28";28;"00059-03";"SAPATARIA";180;0;0;0;36;0;96;0;192;191
"29";29;"00059-04";"SAPATARIA";180;36;0;0;0;0;48;0;144;240
"30";30;"00059-15";"SAPATARIA";180;0;0;0;36;0;96;0;192;192
"31";31;"00060-01";"LOJAS DE MATERIAL ESPORTIVO";0;0;12;0;0;0;144;0;36;0
"32";32;"00060-01";"LOJAS DE MATERIAL ESPORTIVO";0;0;12;0;0;0;60;0;48;0
"33";33;"00082-01";"LOJAS DE MATERIAL ESPORTIVO";252;156;1222;0;312;0;106;0;563;540
"34";34;"00082-03";"SURFSHOP";94;84;1076;0;96;0;0;0;539;604
"35";35;"00082-04";"LOJAS DE MATERIAL ESPORTIVO";0;84;592;0;191;0;0;0;263;390
"36";36;"00088-01";"BOUTIQUE DE CALCADOS";0;84;180;0;0;0;72;0;0;144
"37";37;"00088-02";"BOUTIQUE DE CALCADOS";72;0;143;60;0;0;0;0;0;216
"38";38;"00095-02";"SURFSHOP";48;72;309;0;0;0;60;0;155;0
"39";39;"00095-03";"SURFSHOP";48;72;776;0;0;0;276;0;156;0
"40";40;"00095-04";"SURFSHOP";0;72;776;0;0;0;273;0;72;0
"41";41;"00096-14";"SURFSHOP";0;48;1320;0;300;0;0;0;0;36
"42";42;"00102-01";"BOUTIQUE UNISSEX";0;0;96;0;0;0;144;0;0;48
"43";43;"00102-02";"BOUTIQUE UNISSEX";0;0;96;0;0;0;240;0;0;48
"44";44;"00108-02";"LOJAS DE MATERIAL ESPORTIVO";144;0;154;0;0;0;598;0;108;142
"45";45;"00108-03";"LOJAS DE MATERIAL ESPORTIVO";48;0;262;0;36;0;299;0;48;96
"46";46;"00108-05";"LOJAS DE MATERIAL ESPORTIVO";0;72;144;0;0;0;276;0;48;0
"47";47;"00108-06";"LOJAS DE MATERIAL ESPORTIVO";48;0;155;0;0;0;540;0;228;0
"48";48;"00108-07";"LOJAS DE MATERIAL ESPORTIVO";94;108;429;0;72;0;323;0;96;46
"49";49;"00108-08";"LOJAS DE MATERIAL ESPORTIVO";0;72;144;0;36;0;276;0;48;0
"50";50;"00108-09";"LOJAS DE MATERIAL ESPORTIVO";48;72;144;0;0;0;274;0;72;0
"51";51;"00108-10";"BOUTIQUE DE CALCADOS";48;36;307;0;36;0;289;0;48;0
"52";52;"00108-11";"SAPATARIA";48;72;347;0;36;0;348;0;94;0
"53";53;"00108-12";"SAPATARIA";0;35;84;0;36;0;288;0;0;0
"54";54;"00108-14";"SAPATARIA";192;108;317;0;46;0;750;0;166;108
"55";55;"00108-15";"SAPATARIA";48;36;0;0;0;0;370;0;0;0
"56";56;"00108-16";"LOJAS DE MATERIAL ESPORTIVO";48;36;58;0;0;0;492;0;0;60
"57";57;"00108-17";"LOJAS DE MATERIAL ESPORTIVO";48;0;48;0;48;0;396;0;168;0
"58";58;"00108-18";"LOJAS DE MATERIAL ESPORTIVO";48;36;190;0;0;0;264;0;0;0
"59";59;"00108-19";"LOJAS DE MATERIAL ESPORTIVO";0;36;156;0;0;0;359;0;119;0
"60";60;"00110-02";"BOUTIQUE UNISSEX";0;0;264;96;0;0;213;0;0;48
"61";61;"00110-03";"BOUTIQUE UNISSEX";0;0;120;0;0;0;48;0;0;0
"62";62;"00110-04";"SURFSHOP";0;0;96;24;0;0;71;0;0;24
"63";63;"00111-01";"LOJAS DE DEPARTAMENTO";83;0;0;46;108;0;132;0;96;142
"64";64;"00117-01";"SAPATARIA";154;48;0;0;0;0;252;0;0;312
"65";65;"00117-02";"SAPATARIA";166;47;0;0;0;0;260;0;0;336
"66";66;"00117-06";"SAPATARIA";154;48;0;0;0;0;252;0;0;324
"67";67;"00117-07";"SAPATARIA";120;47;0;0;0;0;144;0;0;216
"68";68;"00117-08";"SAPATARIA";108;47;0;0;0;0;180;0;0;216
"69";69;"00117-09";"SAPATARIA";96;48;0;0;0;0;96;0;0;156
"70";70;"00117-10";"SAPATARIA";96;0;0;0;0;0;96;0;0;156
"71";71;"00117-11";"SAPATARIA";96;0;0;0;0;0;84;0;0;132
"72";72;"00117-12";"SAPATARIA";142;0;0;0;0;0;228;0;0;288
"73";73;"00117-13";"SAPATARIA";132;0;0;0;0;0;216;0;0;288
"74";74;"00117-14";"SAPATARIA";120;0;0;0;0;0;192;0;0;264
"75";75;"00117-15";"SAPATARIA";84;0;0;0;0;0;48;0;0;96
"76";76;"00117-17";"SAPATARIA";84;0;0;0;0;0;48;0;0;96
"77";77;"00117-18";"SAPATARIA";84;0;0;0;0;0;48;0;0;96
"78";78;"00118-01";"SAPATARIA";48;36;47;0;0;0;60;0;528;48
"79";79;"00121-01";"BOUTIQUE UNISSEX";0;0;48;0;0;0;72;0;36;24
"80";80;"00124-01";"BOUTIQUE UNISSEX";0;48;190;0;48;0;142;0;0;0
"81";81;"00124-03";"BOUTIQUE UNISSEX";359;144;515;72;132;0;239;0;0;0
"82";82;"00127-01";"SURFSHOP";0;48;144;0;47;0;132;0;0;192
"83";83;"00127-05";"SURFSHOP";84;132;379;36;107;0;276;0;72;479
"84";84;"00127-06";"SURFSHOP";72;132;379;36;107;0;444;0;72;479
"85";85;"00127-07";"SURFSHOP";0;96;240;48;59;0;324;0;72;420
"86";86;"00127-08";"SURFSHOP";0;47;142;0;48;0;371;0;0;192
"87";87;"00127-09";"SURFSHOP";120;192;586;119;165;0;419;0;108;683
"88";88;"00127-10";"SURFSHOP";0;48;204;0;48;0;251;0;0;192
"89";89;"00127-12";"SURFSHOP";0;0;60;0;0;0;0;0;0;0
"90";90;"00127-13";"SURFSHOP";72;156;420;36;107;0;300;0;72;467
"91";91;"00127-14";"SURFSHOP";0;48;143;0;48;0;312;0;0;192
"92";92;"00127-17";"SURFSHOP";0;24;60;0;0;0;130;0;0;108
"93";93;"00127-18";"SURFSHOP";0;24;84;0;0;0;144;0;0;84
"94";94;"00130-01";"LOJAS DE DEPARTAMENTO";0;0;36;0;0;0;287;0;0;0
"95";95;"00141-01";"SAPATARIA";0;0;48;0;96;0;108;0;360;408
"96";96;"00141-05";"SAPATARIA";0;0;48;0;96;0;108;0;359;408
"97";97;"00158-06";"LOJAS DE DEPARTAMENTO";96;36;48;0;84;0;83;0;48;96
"98";98;"00158-07";"LOJAS DE DEPARTAMENTO";96;36;47;0;84;0;83;0;46;96
"99";99;"00158-08";"LOJAS DE DEPARTAMENTO";96;36;48;0;84;0;83;0;48;96
"100";100;"00158-09";"LOJAS DE DEPARTAMENTO";95;35;46;0;84;0;83;0;46;96
"101";101;"00158-10";"LOJAS DE DEPARTAMENTO";96;35;48;0;84;0;84;0;46;96
"102";102;"00158-11";"LOJAS DE DEPARTAMENTO";0;180;0;0;0;0;0;0;0;0
"103";103;"00164-01";"BOUTIQUE DE CALCADOS";0;95;144;0;0;0;430;0;0;24
"104";104;"00169-02";"SURFSHOP";0;0;0;0;0;0;48;0;0;0
"105";105;"00169-03";"BOUTIQUE UNISSEX";0;0;0;0;0;0;72;0;0;0
"106";106;"00169-05";"BOUTIQUE UNISSEX";0;0;0;0;0;0;48;0;0;0
"107";107;"00169-06";"BOUTIQUE UNISSEX";0;0;0;0;0;0;312;0;0;0
"108";108;"00169-07";"SURFSHOP";0;0;0;0;0;0;215;0;0;0
"109";109;"00179-01";"SURFSHOP";48;96;156;192;0;0;48;0;0;0
"110";110;"00185-01";"SAPATARIA";300;0;608;60;216;0;467;0;132;299
"111";111;"00185-03";"SAPATARIA";324;0;646;107;312;0;789;0;156;660
"112";112;"00185-04";"SAPATARIA";204;0;514;84;72;0;720;0;108;252
"113";113;"00185-05";"SAPATARIA";263;0;647;84;276;0;636;0;192;540
"114";114;"00185-06";"SAPATARIA";300;0;765;84;240;0;1004;0;167;468
"115";115;"00185-07";"BOUTIQUE DE CALCADOS";273;0;668;84;192;0;899;0;180;419
"116";116;"00185-09";"SAPATARIA";276;0;827;60;216;0;840;0;106;407
"117";117;"00198-01";"SAPATARIA";84;0;144;0;0;0;144;0;0;240
"118";118;"00198-06";"SAPATARIA";48;0;95;0;0;0;48;0;0;144
"119";119;"00207-01";"SAPATARIA";69;0;60;0;0;0;240;0;46;332
"120";120;"00207-02";"SAPATARIA";36;0;0;0;0;0;275;0;0;48
"121";121;"00207-05";"LOJAS DE MATERIAL ESPORTIVO";84;0;0;36;0;0;84;0;48;204
"122";122;"00207-06";"SAPATARIA";0;108;0;0;0;0;0;0;0;0
"123";123;"00218-63";"SAPATARIA";12216;12996;9264;3744;13740;0;20568;0;0;25044
"124";124;"00232-02";"LOJAS DE DEPARTAMENTO";527;72;108;47;0;0;336;0;476;288
"125";125;"00232-03";"LOJAS DE DEPARTAMENTO";96;48;35;0;0;0;84;0;84;0
"126";126;"00233-01";"LOJAS DE MATERIAL ESPORTIVO";132;0;0;0;0;0;0;36;144;48
"127";127;"00235-01";"SURFSHOP";0;0;0;0;0;0;273;0;0;36
"128";128;"00237-01";"SAPATARIA";0;0;0;0;0;0;179;0;0;0
"129";129;"00237-02";"SAPATARIA";0;0;0;0;0;0;179;0;60;0
"130";130;"00237-03";"SAPATARIA";0;0;0;0;0;0;180;0;60;0
"131";131;"00237-05";"SAPATARIA";0;0;0;0;0;0;180;0;60;0
"132";132;"00238-01";"SAPATARIA";0;0;0;0;0;0;96;0;0;0
"133";133;"00238-06";"SAPATARIA";0;0;0;0;0;0;276;0;0;0
"134";134;"00238-07";"SAPATARIA";0;0;0;0;0;0;96;0;0;0
"135";135;"00238-08";"SAPATARIA";0;0;0;0;0;0;96;0;0;0
"136";136;"00238-10";"SAPATARIA";0;0;0;0;0;0;96;0;0;0
"137";137;"00238-11";"BOUTIQUE DE CALCADOS";0;0;0;0;0;0;276;0;0;0
"138";138;"00238-12";"BOUTIQUE DE CALCADOS";0;0;0;0;0;0;96;0;0;0
"139";139;"00238-14";"SAPATARIA";0;0;0;0;0;0;216;0;0;0
"140";140;"00238-15";"SAPATARIA";0;0;0;0;0;0;96;0;0;0
